"German : ""  Ich hoffe ihr habt wieder Lust auf Bingo! Dafür müssen wir uns wieder an den Tisch setzen, Sarah fährt mich bestimmt netterweise eben hin! "",";;;;;;;I hope that you would like to play Bingo with me. For this we have to move to the table. Please get up, Inga? Can you drive me to the table as well?
"German : ""  sagt bereit wenn ihr alle einen Platz gefunden habt! "",";;;;;;;"Say ""ready"" when veryone found a seat at the table"
"German : "" Ok! Ich hoffe ihr habt Lust wieder eine Runde Bingo mit mir zu spielen! Wie letztes mal ruft erst dann laut Bingo wenn ihr eine Reihe oder eine Spalte voll habt. Seid ihr bereit? "",";;;;;;;Ok! I hope that you would like to play a quick round of Bingo with me! The rules are simple, i will read out loud some numbers, if you can find the numbers on your Bingo sheet, mark them. If you have a full row or column of numbers, call out Bingo. I will check your sheet then to see if you won. Are you ready?
"German : "" ok los gehts "",";;;;;;;ok off you go 
"German : "" ok...ich überprüfe das mal eben in meinem System...m.....m..öm..ja..Super! Du hast gewonnen! Da hab ich wohl genau die richtigen Zahlen ausgesucht...  "",";;;;;;;ok...I'll just check it out in my system...m....m...m..yes..Super! You won! I must have chosen exactly the right numbers... 
